,CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
1573,V97715,180,0.005,0.047,4.56,0.444,0.051,0.036000000000000004,380,53,1451.0,9,5,0.012
1574,V97713,167,0.005,0.055,4.55,0.496,0.057,0.034,407,61,1401.0,13,6,0.008
1575,V97711,160,0.005,0.055,4.54,0.44799999999999995,0.051,0.037000000000000005,465,65,1310.0,12,6,0.005
1576,V97710,161,0.005,0.067,4.52,0.423,0.046,0.036000000000000004,493,70,1344.0,16,7,0.006
1577,V97708,172,0.005,0.044000000000000004,4.57,0.57,0.067,0.037000000000000005,349,49,1411.0,9,4,0.006999999999999999
1578,V97707,162,0.005,0.040999999999999995,4.58,0.614,0.063,0.039,347,45,1437.0,11,4,0.005
1579,V97706,172,0.005,0.038,4.65,0.564,0.064,0.039,343,48,1413.0,8,5,0.006
1580,V97705,164,0.005,0.034,4.62,0.7120000000000001,0.077,0.043,318,44,1519.0,8,4,0.005
1581,V97704,176,0.005,0.031,4.63,0.8140000000000001,0.08800000000000001,0.043,300,42,1396.0,9,4,0.009000000000000001
1582,V97703,169,0.005,0.038,4.55,0.752,0.073,0.04,341,49,1429.0,9,5,0.005
1583,V97701,166,0.005,0.036000000000000004,4.57,0.85,0.08,0.040999999999999995,323,46,1421.0,10,4,0.003
1584,V97700,179,0.005,0.05,4.53,0.55,0.064,0.040999999999999995,409,55,1348.0,11,6,0.006999999999999999
1585,V97698,166,0.005,0.044000000000000004,4.6,0.68,0.07400000000000001,0.042,361,51,1416.0,12,4,0.005
1586,V97697,173,0.005,0.055,4.57,0.37,0.047,0.036000000000000004,422,65,1374.0,11,6,0.006
1587,V97695,166,0.005,0.033,4.59,0.9,0.094,0.049,312,43,1364.0,8,4,0.004
1588,V97694,175,0.005,0.044000000000000004,4.5,0.685,0.068,0.04,358,54,1388.0,12,5,0.006
1589,V97692,164,0.005,0.063,4.39,0.5479999999999999,0.047,0.035,485,71,1370.0,13,7,0.006
1590,V97691,177,0.005,0.036000000000000004,4.6,0.894,0.087,0.043,324,47,1394.0,9,4,0.005
1591,V97690,165,0.005,0.034,4.56,0.845,0.08199999999999999,0.042,320,44,1408.0,8,4,0.006
1592,V97689,165,0.005,0.042,4.57,0.632,0.069,0.045,349,49,1362.0,9,4,0.005
